;Timestamp;Pressure_data
[2025-12-09 13:47:06.825] ;1043;95352.11
[2025-12-09 13:47:06.832] ;1055;95352.91
[2025-12-09 13:47:06.849] ;1068;95352.46
[2025-12-09 13:47:06.865] ;1079;95352.02
[2025-12-09 13:47:06.881] ;1091;95352.55
[2025-12-09 13:47:06.898] ;1103;95352.53
[2025-12-09 13:47:06.914] ;1116;95352.75
[2025-12-09 13:47:06.931] ;1128;95352.67
[2025-12-09 13:47:06.951] ;1140;95353.02
[2025-12-09 13:47:06.966] ;1153;95353.38
[2025-12-09 13:47:06.980] ;1165;95353.35
[2025-12-09 13:47:06.997] ;1177;95353.25
[2025-12-09 13:47:07.017] ;1189;95353.6
[2025-12-09 13:47:07.030] ;1203;95353.78
[2025-12-09 13:47:07.048] ;1220;95353.97
[2025-12-09 13:47:07.065] ;1236;95353.47
[2025-12-09 13:47:07.081] ;1253;95353.97
[2025-12-09 13:47:07.096] ;1269;95354.5
[2025-12-09 13:47:07.112] ;1287;95354.17
[2025-12-09 13:47:07.129] ;1303;95354.75
[2025-12-09 13:47:07.148] ;1319;95354.3
[2025-12-09 13:47:07.162] ;1336;95354.38
[2025-12-09 13:47:07.180] ;1353;95355
[2025-12-09 13:47:07.195] ;1370;95354.83
[2025-12-09 13:47:07.212] ;1386;95355.14
[2025-12-09 13:47:07.234] ;1402;95355.88
[2025-12-09 13:47:07.244] ;1420;95355.38
[2025-12-09 13:47:07.266] ;1436;95354.89
[2025-12-09 13:47:07.279] ;1453;95355.42
[2025-12-09 13:47:07.293] ;1469;95355.64
[2025-12-09 13:47:07.309] ;1486;95355.75
[2025-12-09 13:47:07.327] ;1503;95355.72
[2025-12-09 13:47:07.343] ;1519;95356.52
[2025-12-09 13:47:07.360] ;1536;95356.27
[2025-12-09 13:47:07.376] ;1553;95356.47
[2025-12-09 13:47:07.393] ;1569;95356.55
[2025-12-09 13:47:07.410] ;1586;95357.5
[2025-12-09 13:47:07.429] ;1602;95357.21
[2025-12-09 13:47:07.443] ;1619;95357.07
[2025-12-09 13:47:07.461] ;1636;95357.8
[2025-12-09 13:47:07.478] ;1652;95357.22
[2025-12-09 13:47:07.493] ;1669;95357.19
[2025-12-09 13:47:07.510] ;1686;95357.6
[2025-12-09 13:47:07.527] ;1702;95358.28
[2025-12-09 13:47:07.544] ;1719;95358.38
[2025-12-09 13:47:07.565] ;1735;95358.25
[2025-12-09 13:47:07.576] ;1753;95358.69
[2025-12-09 13:47:07.593] ;1769;95358.86
[2025-12-09 13:47:07.610] ;1785;95358.85
[2025-12-09 13:47:07.627] ;1802;95358.67
[2025-12-09 13:47:07.643] ;1819;95359.5
[2025-12-09 13:47:07.660] ;1836;95359.82
[2025-12-09 13:47:07.677] ;1852;95359.22
[2025-12-09 13:47:07.693] ;1868;95359.91
[2025-12-09 13:47:07.709] ;1886;95360.13
[2025-12-09 13:47:07.726] ;1902;95360.28
[2025-12-09 13:47:07.742] ;1918;95360.22
[2025-12-09 13:47:07.759] ;1935;95360.22
[2025-12-09 13:47:07.775] ;1952;95360.55
[2025-12-09 13:47:07.792] ;1969;95360.32
[2025-12-09 13:47:07.809] ;1985;95360.57
[2025-12-09 13:47:07.827] ;2001;95361.14
[2025-12-09 13:47:07.843] ;2019;95361.14
[2025-12-09 13:47:07.860] ;2035;95361.39
[2025-12-09 13:47:07.876] ;2052;95361.94
[2025-12-09 13:47:07.893] ;2068;95361.11
[2025-12-09 13:47:07.909] ;2085;95361.75
[2025-12-09 13:47:07.926] ;2102;95361.89
[2025-12-09 13:47:07.942] ;2118;95362.3
[2025-12-09 13:47:07.959] ;2135;95362.63
[2025-12-09 13:47:07.976] ;2152;95363.08
[2025-12-09 13:47:07.995] ;2168;95363.41
[2025-12-09 13:47:08.009] ;2185;95362.99
[2025-12-09 13:47:08.027] ;2201;95363.44
[2025-12-09 13:47:08.043] ;2219;95363.11
[2025-12-09 13:47:08.059] ;2235;95363.67
[2025-12-09 13:47:08.076] ;2251;95363.24
[2025-12-09 13:47:08.093] ;2268;95363.07
[2025-12-09 13:47:08.109] ;2285;95363.96
[2025-12-09 13:47:08.126] ;2301;95363.6
[2025-12-09 13:47:08.142] ;2318;95364
[2025-12-09 13:47:08.159] ;2334;95364.27
[2025-12-09 13:47:08.176] ;2352;95365.17
[2025-12-09 13:47:08.193] ;2368;95364.94
[2025-12-09 13:47:08.209] ;2384;95364.16
[2025-12-09 13:47:08.226] ;2401;95365.1
[2025-12-09 13:47:08.242] ;2418;95364.83
[2025-12-09 13:47:08.260] ;2435;95364.94
[2025-12-09 13:47:08.276] ;2451;95365.42
[2025-12-09 13:47:08.293] ;2467;95364.78
[2025-12-09 13:47:08.310] ;2485;95365.53
[2025-12-09 13:47:08.326] ;2501;95365.72
[2025-12-09 13:47:08.343] ;2518;95366.08
[2025-12-09 13:47:08.355] ;2534;95366.77
[2025-12-09 13:47:08.369] ;2551;95366.17
[2025-12-09 13:47:08.395] ;2568;95366.77
[2025-12-09 13:47:08.411] ;2584;95366.03
[2025-12-09 13:47:08.427] ;2600;95366.82
[2025-12-09 13:47:08.443] ;2618;95367.13
[2025-12-09 13:47:08.460] ;2634;95366.63
[2025-12-09 13:47:08.477] ;2651;95366.69
[2025-12-09 13:47:08.493] ;2667;95366.96
[2025-12-09 13:47:08.511] ;2684;95367.71
[2025-12-09 13:47:08.526] ;2701;95367.74
[2025-12-09 13:47:08.543] ;2717;95367.46
[2025-12-09 13:47:08.560] ;2734;95368.38
[2025-12-09 13:47:08.577] ;2751;95367.89
[2025-12-09 13:47:08.593] ;2767;95368.75
[2025-12-09 13:47:08.609] ;2784;95368.33
[2025-12-09 13:47:08.626] ;2800;95368.55
[2025-12-09 13:47:08.642] ;2818;95368.97
