;Timestamp;Pressure_data
[2025-12-09 13:11:59.122] ;1043;95567.83
[2025-12-09 13:11:59.126] ;1055;95568.25
[2025-12-09 13:11:59.144] ;1068;95568.86
[2025-12-09 13:11:59.160] ;1079;95568.74
[2025-12-09 13:11:59.177] ;1091;95568.66
[2025-12-09 13:11:59.190] ;1103;95569.1
[2025-12-09 13:11:59.206] ;1116;95569.28
[2025-12-09 13:11:59.220] ;1128;95568.74
[2025-12-09 13:11:59.236] ;1140;95569.57
[2025-12-09 13:11:59.253] ;1153;95569.82
[2025-12-09 13:11:59.270] ;1165;95569.61
[2025-12-09 13:11:59.291] ;1177;95569.96
[2025-12-09 13:11:59.306] ;1189;95569.8
[2025-12-09 13:11:59.320] ;1203;95570.53
[2025-12-09 13:11:59.336] ;1220;95570.74
[2025-12-09 13:11:59.356] ;1236;95570.47
[2025-12-09 13:11:59.369] ;1253;95571.05
[2025-12-09 13:11:59.386] ;1269;95571.78
[2025-12-09 13:11:59.406] ;1287;95571.74
[2025-12-09 13:11:59.426] ;1303;95571.16
[2025-12-09 13:11:59.436] ;1319;95572.32
[2025-12-09 13:11:59.455] ;1336;95572.21
[2025-12-09 13:11:59.469] ;1353;95572.88
[2025-12-09 13:11:59.485] ;1370;95572.96
[2025-12-09 13:11:59.506] ;1386;95573.5
[2025-12-09 13:11:59.519] ;1402;95573.86
[2025-12-09 13:11:59.541] ;1420;95573.89
[2025-12-09 13:11:59.552] ;1436;95574.5
[2025-12-09 13:11:59.569] ;1453;95574.53
[2025-12-09 13:11:59.589] ;1469;95575.08
[2025-12-09 13:11:59.602] ;1486;95575.49
[2025-12-09 13:11:59.619] ;1503;95575.36
[2025-12-09 13:11:59.635] ;1519;95575.49
[2025-12-09 13:11:59.652] ;1536;95576.39
[2025-12-09 13:11:59.669] ;1553;95576.41
[2025-12-09 13:11:59.686] ;1569;95576.85
[2025-12-09 13:11:59.707] ;1586;95576.64
[2025-12-09 13:11:59.719] ;1602;95577.44
[2025-12-09 13:11:59.735] ;1619;95576.6
[2025-12-09 13:11:59.752] ;1636;95577.69
[2025-12-09 13:11:59.768] ;1652;95577.32
[2025-12-09 13:11:59.788] ;1669;95578.44
[2025-12-09 13:11:59.807] ;1686;95578.35
[2025-12-09 13:11:59.817] ;1702;95578.52
[2025-12-09 13:11:59.834] ;1719;95578.58
[2025-12-09 13:11:59.850] ;1735;95579.75
[2025-12-09 13:11:59.867] ;1753;95579.02
[2025-12-09 13:11:59.883] ;1769;95579.52
[2025-12-09 13:11:59.899] ;1785;95579.71
[2025-12-09 13:11:59.916] ;1802;95580.32
[2025-12-09 13:11:59.938] ;1819;95580.28
[2025-12-09 13:11:59.953] ;1836;95580.71
[2025-12-09 13:11:59.973] ;1852;95581.1
[2025-12-09 13:11:59.989] ;1868;95581.69
